date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:40:07	89396/89396	---M-Z	200	added ('OK')	text/html	etag:%2215d34-639e187370cb0-gzip%22	https://shreethemes.in/landrick/landing/index-classic-saas.html	./landrick-copy/shreethemes.in/landrick/landing/index-classic-saas.html	(from )
17:40:08	116482/116482	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%221c702-615f6cb1bfd31%22	https://shreethemes.in/landrick/landing/assets/images/favicon.ico	./landrick-copy/shreethemes.in/landrick/landing/assets/images/favicon.ico	(from https://shreethemes.in/landrick/landing/index-classic-saas.html)
17:40:09	2178/2178	---M-Z	200	added ('OK')	text/css	etag:%22882-615f6cb26aba2-gzip%22	https://shreethemes.in/landrick/landing/assets/libs/tiny-slider/tiny-slider.css	./landrick-copy/shreethemes.in/landrick/landing/assets/libs/tiny-slider/tiny-slider.css	(from https://shreethemes.in/landrick/landing/index-classic-saas.html)
17:40:09	4190/4190	---M-Z	200	added ('OK')	text/css	etag:%22105e-615f6cb26aba2-gzip%22	https://shreethemes.in/landrick/landing/assets/libs/tobii/css/tobii.min.css	./landrick-copy/shreethemes.in/landrick/landing/assets/libs/tobii/css/tobii.min.css	(from https://shreethemes.in/landrick/landing/index-classic-saas.html)
17:40:10	300086/300086	---M-Z	200	added ('OK')	text/css	etag:%2249436-639e18735478e-gzip%22	https://shreethemes.in/landrick/landing/assets/css/bootstrap.min.css	./landrick-copy/shreethemes.in/landrick/landing/assets/css/bootstrap.min.css	(from https://shreethemes.in/landrick/landing/index-classic-saas.html)
17:40:12	346626/346626	---M-Z	200	added ('OK')	text/css	etag:%2254a02-615f6cb2553e0-gzip%22	https://shreethemes.in/landrick/landing/assets/libs/@mdi/font/css/materialdesignicons.min.css	./landrick-copy/shreethemes.in/landrick/landing/assets/libs/@mdi/font/css/materialdesignicons.min.css	(from https://shreethemes.in/landrick/landing/index-classic-saas.html)
17:40:12	66479/66479	---M-Z	200	added ('OK')	text/css	etag:%22103af-639e18735f36f-gzip%22	https://shreethemes.in/landrick/landing/assets/libs/@iconscout/unicons/css/line.css	./landrick-copy/shreethemes.in/landrick/landing/assets/libs/@iconscout/unicons/css/line.css	(from https://shreethemes.in/landrick/landing/index-classic-saas.html)
17:40:13	142455/142455	---M-Z	200	added ('OK')	text/css	etag:%2222c77-639e18735766f-gzip%22	https://shreethemes.in/landrick/landing/assets/css/style.min.css	./landrick-copy/shreethemes.in/landrick/landing/assets/css/style.min.css	(from https://shreethemes.in/landrick/landing/index-classic-saas.html)
17:40:14	91583/91583	---M-Z	200	added ('OK')	text/html	etag:%22165bf-639e187376a71-gzip%22	https://shreethemes.in/landrick/landing/index.html	./landrick-copy/shreethemes.in/landrick/landing/index.html	(from https://shreethemes.in/landrick/landing/index-classic-saas.html)
17:40:15	2699/2699	---M--	200	added ('OK')	image/png	etag:%22a8b-615f6cb1f1a16%22	https://shreethemes.in/landrick/landing/assets/images/logo-dark.png	./landrick-copy/shreethemes.in/landrick/landing/assets/images/logo-dark.png	(from https://shreethemes.in/landrick/landing/index-classic-saas.html)
