date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:41:00	68399/68399	---M-Z	200	added ('OK')	text/html	etag:%2210b2f-639e187347c6e-gzip%22	https://shreethemes.in/landrick/dashboard/index.html	./landrick-dashboard/shreethemes.in/landrick/dashboard/index.html	(from )
17:41:01	116482/116482	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%221c702-615f6cb15e2a8%22	https://shreethemes.in/landrick/dashboard/assets/images/favicon.ico	./landrick-dashboard/shreethemes.in/landrick/dashboard/assets/images/favicon.ico	(from https://shreethemes.in/landrick/dashboard/index.html)
17:41:02	3269/3269	---M-Z	200	added ('OK')	text/css	etag:%22cc5-615f6cb18efed-gzip%22	https://shreethemes.in/landrick/dashboard/assets/libs/simplebar/simplebar.min.css	./landrick-dashboard/shreethemes.in/landrick/dashboard/assets/libs/simplebar/simplebar.min.css	(from https://shreethemes.in/landrick/dashboard/index.html)
17:41:02	287376/287376	---M-Z	200	added ('OK')	text/css	etag:%2246290-639e18732a7ac-gzip%22	https://shreethemes.in/landrick/dashboard/assets/css/bootstrap.min.css	./landrick-dashboard/shreethemes.in/landrick/dashboard/assets/css/bootstrap.min.css	(from https://shreethemes.in/landrick/dashboard/index.html)
17:41:04	346626/346626	---M-Z	200	added ('OK')	text/css	etag:%2254a02-615f6cb17c70b-gzip%22	https://shreethemes.in/landrick/dashboard/assets/libs/@mdi/font/css/materialdesignicons.min.css	./landrick-dashboard/shreethemes.in/landrick/dashboard/assets/libs/@mdi/font/css/materialdesignicons.min.css	(from https://shreethemes.in/landrick/dashboard/index.html)
17:41:04	67872/67872	---M-Z	200	added ('OK')	text/css	etag:%2210920-615f6cb152727-gzip%22	https://shreethemes.in/landrick/dashboard/assets/css/icons.min.css	./landrick-dashboard/shreethemes.in/landrick/dashboard/assets/css/icons.min.css	(from https://shreethemes.in/landrick/dashboard/index.html)
17:41:05	66479/66479	---M-Z	200	added ('OK')	text/css	etag:%22103af-639e18732f5cc-gzip%22	https://shreethemes.in/landrick/dashboard/assets/libs/@iconscout/unicons/css/line.css	./landrick-dashboard/shreethemes.in/landrick/dashboard/assets/libs/@iconscout/unicons/css/line.css	(from https://shreethemes.in/landrick/dashboard/index.html)
17:41:06	47055/47055	---M-Z	200	added ('OK')	text/css	etag:%22b7cf-639e18732a7ac-gzip%22	https://shreethemes.in/landrick/dashboard/assets/css/style.min.css	./landrick-dashboard/shreethemes.in/landrick/dashboard/assets/css/style.min.css	(from https://shreethemes.in/landrick/dashboard/index.html)
17:41:07	2699/2699	---M--	200	added ('OK')	image/png	etag:%22a8b-615f6cb15e2a8%22	https://shreethemes.in/landrick/dashboard/assets/images/logo-dark.png	./landrick-dashboard/shreethemes.in/landrick/dashboard/assets/images/logo-dark.png	(from https://shreethemes.in/landrick/dashboard/index.html)
17:41:08	2425/2425	---M--	200	added ('OK')	image/png	etag:%22979-615f6cb15e2a8%22	https://shreethemes.in/landrick/dashboard/assets/images/logo-light.png	./landrick-dashboard/shreethemes.in/landrick/dashboard/assets/images/logo-light.png	(from https://shreethemes.in/landrick/dashboard/index.html)
